input,symptom,best_lag,effect_r,p_value,q_value,n,is_planted
seed_oil,joint_pain,2,0.328,0.0001,0.0028,157,True
omega3,joint_pain,5,0.081,0.868,0.9781,154,False
sugar,joint_pain,5,-0.11,0.6246,0.9781,154,False
turmeric,joint_pain,4,-0.213,0.038,0.38,155,True
coffee,joint_pain,4,0.078,0.8752,0.9781,155,False
pasta,joint_pain,4,-0.163,0.2091,0.7143,155,False
cheese,joint_pain,3,-0.06,0.9459,0.9781,156,False
banana,joint_pain,4,0.109,0.6294,0.9781,155,False
salad,joint_pain,3,-0.08,0.8716,0.9781,156,False
soda,joint_pain,4,-0.11,0.625,0.9781,155,False
bread,joint_pain,3,0.07,0.9125,0.9781,156,False
eggs,joint_pain,5,-0.054,0.9702,0.9781,154,False
seed_oil,mood,5,-0.133,0.5082,0.9781,132,False
omega3,mood,2,-0.366,0.0001,0.002,135,True
sugar,mood,2,0.143,0.4096,0.9102,135,False
turmeric,mood,4,-0.091,0.8266,0.9781,133,False
coffee,mood,0,-0.073,0.9249,0.9781,135,False
pasta,mood,5,-0.095,0.8269,0.9781,132,False
cheese,mood,2,0.113,0.6394,0.9781,135,False
banana,mood,1,0.086,0.8614,0.9781,135,False
salad,mood,5,0.149,0.3867,0.8924,132,False
soda,mood,1,-0.057,0.9755,0.9781,135,False
bread,mood,1,0.17,0.2191,0.7143,135,False
eggs,mood,2,0.081,0.8859,0.9781,135,False
seed_oil,fatigue,2,-0.138,0.4559,0.9769,134,False
omega3,fatigue,1,-0.088,0.8627,0.9781,134,False
sugar,fatigue,0,0.484,0.0,0.0,134,True
turmeric,fatigue,4,0.105,0.7259,0.9781,132,False
coffee,fatigue,5,-0.177,0.2011,0.7143,131,False
pasta,fatigue,2,-0.161,0.2936,0.8245,134,False
cheese,fatigue,5,-0.258,0.014,0.1685,131,False
banana,fatigue,0,-0.168,0.2381,0.7143,134,False
salad,fatigue,0,-0.181,0.1759,0.7143,134,False
soda,fatigue,0,0.187,0.1476,0.7143,134,False
bread,fatigue,5,-0.153,0.3425,0.8924,131,False
eggs,fatigue,5,-0.27,0.0089,0.1339,131,False
seed_oil,cognitive_clarity,1,-0.097,0.7878,0.9781,138,False
omega3,cognitive_clarity,1,-0.056,0.9781,0.9781,138,False
sugar,cognitive_clarity,5,-0.112,0.6738,0.9781,136,False
turmeric,cognitive_clarity,3,0.129,0.504,0.9781,137,False
coffee,cognitive_clarity,1,0.084,0.8675,0.9781,138,False
pasta,cognitive_clarity,5,0.159,0.3023,0.8245,136,False
cheese,cognitive_clarity,0,-0.089,0.8188,0.9781,138,False
banana,cognitive_clarity,4,0.218,0.0533,0.4565,136,False
salad,cognitive_clarity,0,-0.118,0.6204,0.9781,138,False
soda,cognitive_clarity,1,0.2,0.0922,0.6149,138,False
bread,cognitive_clarity,4,-0.098,0.7715,0.9781,136,False
eggs,cognitive_clarity,3,-0.167,0.2313,0.7143,137,False
seed_oil,sleep_quality,3,-0.113,0.6174,0.9781,150,False
omega3,sleep_quality,1,0.064,0.9519,0.9781,151,False
sugar,sleep_quality,3,0.192,0.0915,0.6149,150,False
turmeric,sleep_quality,0,0.176,0.145,0.7143,151,False
coffee,sleep_quality,5,-0.14,0.3767,0.8924,148,False
pasta,sleep_quality,5,-0.164,0.2224,0.7143,148,False
cheese,sleep_quality,5,-0.179,0.1333,0.7143,148,False
banana,sleep_quality,5,-0.167,0.1961,0.7143,148,False
salad,sleep_quality,3,-0.143,0.3588,0.8924,150,False
soda,sleep_quality,4,-0.071,0.9221,0.9781,149,False
bread,sleep_quality,0,-0.098,0.7278,0.9781,151,False
eggs,sleep_quality,1,0.059,0.959,0.9781,151,False
